Timecode List:,00:00:07.591,00:00:13.722,00:00:19.978,00:00:27.027,00:00:32.908,00:00:38.288,00:00:43.502,00:00:49.007,00:00:53.720,00:00:55.681,00:01:05.440,00:01:06.984,00:01:08.485,00:01:09.945,00:01:11.280,00:01:18.787,00:01:21.915,00:01:24.084,00:01:24.876,00:01:26.545,00:01:36.930,00:01:39.975,00:01:42.102,00:01:43.353,00:01:44.688,00:01:47.774,00:01:52.195,00:02:00.787,00:02:04.916,00:02:07.627,00:02:11.965,00:02:20.140,00:02:23.268,00:02:25.687,00:02:30.359,00:02:39.951,00:02:42.454,00:02:51.088,00:02:53.382,00:02:55.842,00:03:00.389,00:03:05.394,00:03:07.562,00:03:14.152,00:03:20.784,00:03:22.744,00:03:26.248,00:03:30.627,00:03:31.837,00:03:33.046,00:03:34.423,00:03:36.091,00:03:37.259,00:03:42.055,00:03:43.723,00:03:47.018,00:03:50.939,00:03:53.275,00:03:58.363,00:04:05.454,00:04:08.748,00:04:12.461,00:04:20.719,00:04:43.450,00:04:45.118,00:04:48.747,00:04:52.167,00:04:54.961,00:04:56.421,00:05:02.260,00:05:04.846,00:05:06.097,00:05:08.058,00:05:12.145,00:05:18.068,00:05:19.820,00:05:21.488,00:05:23.949,00:05:27.744,00:05:31.873,00:05:38.129,00:06:03.363,00:06:08.618,00:06:15.917,00:06:17.961,00:06:21.089,00:06:23.300,00:06:26.678,00:06:30.640,00:06:34.311
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
18,1965,00:01:21.915,81.915,2016,00:01:24.084,84.084,52,00:00:02.169,2.169
19,2017,00:01:24.084,84.084,2035,00:01:24.876,84.876,19,00:00:00.792,0.792
20,2036,00:01:24.876,84.876,2075,00:01:26.545,86.545,40,00:00:01.668,1.668
21,2076,00:01:26.545,86.545,2324,00:01:36.930,96.930,249,00:00:10.385,10.385
22,2325,00:01:36.930,96.930,2397,00:01:39.975,99.975,73,00:00:03.045,3.045
23,2398,00:01:39.975,99.975,2448,00:01:42.102,102.102,51,00:00:02.127,2.127
24,2449,00:01:42.102,102.102,2478,00:01:43.353,103.353,30,00:00:01.251,1.251
25,2479,00:01:43.353,103.353,2510,00:01:44.688,104.688,32,00:00:01.335,1.335
26,2511,00:01:44.688,104.688,2584,00:01:47.774,107.774,74,00:00:03.086,3.086
27,2585,00:01:47.774,107.774,2690,00:01:52.195,112.195,106,00:00:04.421,4.421
28,2691,00:01:52.195,112.195,2896,00:02:00.787,120.787,206,00:00:08.592,8.592
29,2897,00:02:00.787,120.787,2995,00:02:04.916,124.916,99,00:00:04.129,4.129
30,2996,00:02:04.916,124.916,3060,00:02:07.627,127.627,65,00:00:02.711,2.711
31,3061,00:02:07.627,127.627,3164,00:02:11.965,131.965,104,00:00:04.338,4.338
32,3165,00:02:11.965,131.965,3360,00:02:20.140,140.140,196,00:00:08.175,8.175
33,3361,00:02:20.140,140.140,3435,00:02:23.268,143.268,75,00:00:03.128,3.128
34,3436,00:02:23.268,143.268,3493,00:02:25.687,145.687,58,00:00:02.419,2.419
35,3494,00:02:25.687,145.687,3605,00:02:30.359,150.359,112,00:00:04.671,4.671
36,3606,00:02:30.359,150.359,3835,00:02:39.951,159.951,230,00:00:09.593,9.593
37,3836,00:02:39.951,159.951,3895,00:02:42.454,162.454,60,00:00:02.502,2.502
38,3896,00:02:42.454,162.454,4102,00:02:51.088,171.088,207,00:00:08.634,8.634
39,4103,00:02:51.088,171.088,4157,00:02:53.382,173.382,55,00:00:02.294,2.294
40,4158,00:02:53.382,173.382,4216,00:02:55.842,175.842,59,00:00:02.461,2.461
41,4217,00:02:55.842,175.842,4325,00:03:00.389,180.389,109,00:00:04.546,4.546
42,4326,00:03:00.389,180.389,4445,00:03:05.394,185.394,120,00:00:05.005,5.005
43,4446,00:03:05.394,185.394,4497,00:03:07.562,187.562,52,00:00:02.169,2.169
44,4498,00:03:07.562,187.562,4655,00:03:14.152,194.152,158,00:00:06.590,6.590
45,4656,00:03:14.152,194.152,4814,00:03:20.784,200.784,159,00:00:06.632,6.632
46,4815,00:03:20.784,200.784,4861,00:03:22.744,202.744,47,00:00:01.960,1.960
47,4862,00:03:22.744,202.744,4945,00:03:26.248,206.248,84,00:00:03.503,3.503
48,4946,00:03:26.248,206.248,5050,00:03:30.627,210.627,105,00:00:04.379,4.379
49,5051,00:03:30.627,210.627,5079,00:03:31.837,211.837,29,00:00:01.210,1.210
50,5080,00:03:31.837,211.837,5108,00:03:33.046,213.046,29,00:00:01.210,1.210
51,5109,00:03:33.046,213.046,5141,00:03:34.423,214.423,33,00:00:01.376,1.376
52,5142,00:03:34.423,214.423,5181,00:03:36.091,216.091,40,00:00:01.668,1.668
53,5182,00:03:36.091,216.091,5209,00:03:37.259,217.259,28,00:00:01.168,1.168
54,5210,00:03:37.259,217.259,5324,00:03:42.055,222.055,115,00:00:04.796,4.796
55,5325,00:03:42.055,222.055,5364,00:03:43.723,223.723,40,00:00:01.668,1.668
56,5365,00:03:43.723,223.723,5443,00:03:47.018,227.018,79,00:00:03.295,3.295
57,5444,00:03:47.018,227.018,5537,00:03:50.939,230.939,94,00:00:03.921,3.921
58,5538,00:03:50.939,230.939,5593,00:03:53.275,233.275,56,00:00:02.336,2.336
59,5594,00:03:53.275,233.275,5715,00:03:58.363,238.363,122,00:00:05.088,5.088
60,5716,00:03:58.363,238.363,5885,00:04:05.454,245.454,170,00:00:07.090,7.090
61,5886,00:04:05.454,245.454,5964,00:04:08.748,248.748,79,00:00:03.295,3.295
62,5965,00:04:08.748,248.748,6053,00:04:12.461,252.461,89,00:00:03.712,3.712
63,6054,00:04:12.461,252.461,6251,00:04:20.719,260.719,198,00:00:08.258,8.258
64,6252,00:04:20.719,260.719,6796,00:04:43.450,283.450,545,00:00:22.731,22.731
65,6797,00:04:43.450,283.450,6836,00:04:45.118,285.118,40,00:00:01.668,1.668
66,6837,00:04:45.118,285.118,6923,00:04:48.747,288.747,87,00:00:03.629,3.629
67,6924,00:04:48.747,288.747,7005,00:04:52.167,292.167,82,00:00:03.420,3.420
68,7006,00:04:52.167,292.167,7072,00:04:54.961,294.961,67,00:00:02.794,2.794
69,7073,00:04:54.961,294.961,7107,00:04:56.421,296.421,35,00:00:01.460,1.460
70,7108,00:04:56.421,296.421,7247,00:05:02.260,302.260,140,00:00:05.839,5.839
71,7248,00:05:02.260,302.260,7309,00:05:04.846,304.846,62,00:00:02.586,2.586
72,7310,00:05:04.846,304.846,7339,00:05:06.097,306.097,30,00:00:01.251,1.251
73,7340,00:05:06.097,306.097,7386,00:05:08.058,308.058,47,00:00:01.960,1.960
74,7387,00:05:08.058,308.058,7484,00:05:12.145,312.145,98,00:00:04.087,4.087
75,7485,00:05:12.145,312.145,7626,00:05:18.068,318.068,142,00:00:05.923,5.923
76,7627,00:05:18.068,318.068,7668,00:05:19.820,319.820,42,00:00:01.752,1.752
77,7669,00:05:19.820,319.820,7708,00:05:21.488,321.488,40,00:00:01.668,1.668
78,7709,00:05:21.488,321.488,7767,00:05:23.949,323.949,59,00:00:02.461,2.461
79,7768,00:05:23.949,323.949,7858,00:05:27.744,327.744,91,00:00:03.795,3.795
80,7859,00:05:27.744,327.744,7957,00:05:31.873,331.873,99,00:00:04.129,4.129
81,7958,00:05:31.873,331.873,8107,00:05:38.129,338.129,150,00:00:06.256,6.256
82,8108,00:05:38.129,338.129,8712,00:06:03.363,363.363,605,00:00:25.234,25.234
83,8713,00:06:03.363,363.363,8838,00:06:08.618,368.618,126,00:00:05.255,5.255
84,8839,00:06:08.618,368.618,9013,00:06:15.917,375.917,175,00:00:07.299,7.299
85,9014,00:06:15.917,375.917,9062,00:06:17.961,377.961,49,00:00:02.044,2.044
86,9063,00:06:17.961,377.961,9137,00:06:21.089,381.089,75,00:00:03.128,3.128
87,9138,00:06:21.089,381.089,9190,00:06:23.300,383.300,53,00:00:02.211,2.211
88,9191,00:06:23.300,383.300,9271,00:06:26.678,386.678,81,00:00:03.378,3.378
89,9272,00:06:26.678,386.678,9366,00:06:30.640,390.640,95,00:00:03.962,3.962
90,9367,00:06:30.640,390.640,9454,00:06:34.311,394.311,88,00:00:03.670,3.670
91,9455,00:06:34.311,394.311,9729,00:06:45.780,405.780,275,00:00:11.470,11.470
